"Année" "Vente" "Prix"
1985 94.755 72.1
1986 93.446 74.7
1987 94.098 76
1988 92.999 80.8
1989 94.929 81.3
1990 95.809 79.6
1991 97.1 78
1992 96.31 84.3
1993 93.617 98.3
1994 90.113 112.1
1995 88.336 119.6
1996 86.163 126.2
1997 82.983 134.6
1998 83.835 137.6
1999 83.675 143
2000 83.503 147.1
2001 84.453 152.1
2002 81.518 161.9
2003 70.591 181.3
2004 69.659 221.1
2005 69.525 218.4
2006 70.739 215.7
2007 69.705 218.1
2008 68.011 220.4
2009 69.811 223.2
2010 69.218 232
2011 68.638 240.3
2012 65.323 241.3
2013 60.348 264.1
2014 57.206 276.6
