;Buts;Tirs;Jaune;Rouge;Possession;PassesReuss;DuelsAeriens;TirsContre;Tacles;Interception;Fautes;HorsJeu;TirsCadres;Dribbles;FautesSubies;Ligue
Manchester City;67;17,7;39;2;66,2;88,7;14,3;6,7;15,6;9,2;9;1,8;7,3;12,8;10;Angleterre
Manchester United;48;14,6;38;1;53;82,9;16,7;11,6;14;11,7;11,5;1,7;5,1;11,2;11;Angleterre
Chelsea;41;16,5;27;3;54,7;84,7;14,7;9,7;17,5;10,9;10;3,3;6,2;12,8;10,7;Angleterre
Liverpool;54;17,8;28;1;56,5;83,3;14,6;7,9;17,4;10,7;9,6;1,9;6,6;12,7;8,1;Angleterre
Tottenham;46;17,6;27;2;58,8;84;17;8,7;16;9,2;10,5;2,4;6;10,5;10,4;Angleterre
Arsenal;41;17,1;36;0;58,8;83,8;18;10,4;16,4;12;10,7;2,6;6,2;10;10,3;Angleterre
Burnley;19;9,7;41;0;44,3;70,3;25,1;16,2;14,6;10,9;9,4;3,3;3,2;6,2;10,7;Angleterre
Leicester;34;10,4;28;3;46,1;73,7;20,4;14,5;16,2;10,1;9,4;2,4;3,5;11,3;9,1;Angleterre
Crystal Palace;21;13,1;45;0;46,5;74,5;19,8;11,8;18,3;13,7;11,3;1,5;3,7;12,5;10,9;Angleterre
West Ham;29;9,8;52;2;46,9;75,8;20,4;15,2;16;12,4;9,9;2,4;3,7;10,9;12,7;Angleterre
Brighton;17;9,3;31;0;46,5;76,7;21,1;15;15;12,2;10,7;2,5;2,7;7,5;7,6;Angleterre
Newcastle United;21;12,2;34;2;43,7;73;23,7;13,1;16,9;10,6;11;1,6;4,1;7,8;9,8;Angleterre
Southampton;23;12,2;32;0;52,2;79,5;17,3;13,6;17,6;12,7;11,3;2;3,3;9,7;9,8;Angleterre
Watford;33;11,5;38;4;49,6;76,7;21,9;11,9;17,1;12,7;12,1;1,9;3;8,6;10,4;Angleterre
Everton;25;9,2;39;2;46;74,8;20,4;15;17,6;14,7;12,7;2,1;2,9;5,7;9,4;Angleterre
Stoke;23;10,7;28;0;44,4;74,4;23,2;14,3;17,9;12;9,7;1,7;3,6;8,7;10;Angleterre
West Bromwich Albion;18;10,2;46;1;42,6;73,3;20,2;13,3;15,6;12;11,7;2,2;3,1;8,1;9,3;Angleterre
Bournemouth;24;11,8;37;1;47,9;77,4;18,5;14,3;12,8;10;8,6;0,7;4;8,9;11,4;Angleterre
Huddersfield;19;9,3;38;3;47,7;75,7;20;11,3;19,5;13,4;10,8;1,9;3;8;9,7;Angleterre
Swansea;14;8,5;34;0;47,5;79,1;17,8;14,3;15,9;10,2;10,8;1;2,3;8,8;10,9;Angleterre
Juventus;49;16,8;31;1;56,4;87;12,1;8,8;13,7;11,4;11,1;2,1;6,4;12,9;14,4;Italie
Napoli;44;18,1;30;2;60,1;88;10,3;7,5;17,2;9,7;10,2;2,1;7,5;8,6;8,7;Italie
Lazio;48;14,1;32;2;50,1;83,3;11,6;13,2;16,9;13,4;12,3;2,3;5,5;11,7;9,5;Italie
Roma;30;18,4;24;1;57;84,7;15,2;11,8;14,1;11,9;11,2;1,7;5,6;11,4;11,8;Italie
Inter;35;15,9;41;0;54,2;85,3;13,9;12,7;15,9;10,5;12,4;2,3;5,4;8,8;10,9;Italie
Fiorentina;29;17,5;34;1;52,9;82,6;14,2;10,7;18,4;11,9;14,2;2,4;5,4;8,6;11,4;Italie
Atalanta;31;13,9;29;2;53,3;81,1;13,5;11,5;19,2;13;11,7;1,8;5,2;11,3;13,6;Italie
Torino;28;12,9;38;2;51,9;80,6;15,8;14,2;15,4;11,9;14,8;2,4;4,2;11,2;14,4;Italie
Sampdoria;36;13,3;33;2;53,6;83,1;11,5;14,8;15,4;9,3;11,4;1,6;5,2;8,6;14;Italie
Udinese;33;11,7;40;2;45,9;78,7;13,8;13,1;16,9;12,6;14,1;1,3;4,2;7,4;10,7;Italie
AC Milan;25;17,5;32;4;55;84,5;13,5;10,4;14,6;9;14,3;2,7;6;6,5;13;Italie
Bologna;23;10;49;3;48,2;79,8;14,7;14,5;17,4;11,8;12,3;2;3,1;9,2;12,4;Italie
Chievo;20;12,7;30;1;47,3;79,2;17,9;16,8;13,5;12;11,3;2,9;4,2;5,3;12,8;Italie
Genoa;16;10,8;47;3;46,9;78,1;14,6;14,2;15,3;10,3;16,6;2,3;3,7;7,2;12,9;Italie
Cagliari;18;11,1;41;3;46,4;77,4;17,5;15,7;16,9;11,2;16,5;2,4;3,6;5,8;12,2;Italie
Sassuolo;13;13,2;40;2;46,6;76,1;15,7;14,1;15,2;12;13,4;1,8;3,7;7,6;15,5;Italie
SPAL 2013;21;10,7;47;2;45,7;80,3;12,8;16,8;15,1;13,4;12,7;2,8;3,1;7,1;16,3;Italie
Verona;18;10,5;48;4;43,4;75,2;13,1;18,8;17,6;14,9;13,3;2,2;3;7,4;9,6;Italie
Crotone;13;9,3;31;1;40,2;68,9;16,4;15,9;19,6;15,6;13,5;2,3;3,1;5,7;10,7;Italie
Benevento;13;13,4;38;2;45,2;79,6;10,6;15,8;16,3;12,8;13,3;2,4;4;9,8;12,4;Italie
Barcelona;52;15,7;33;0;60,6;87,8;7,5;11,1;16,7;11,1;10,6;3,9;7,2;15,6;14;Espagne
Real Madrid;32;19,3;31;4;57,6;87,9;10;9,6;18,2;11,7;11,7;3,2;6,9;11,4;13,6;Espagne
Atletico Madrid;28;10,7;49;2;47,8;79,3;14,7;11,8;22,3;13,3;13,6;2,4;4,4;10,5;13,3;Espagne
