KIDEN	igqs	izaa	ezaa	tsi	vr2	tcr	tcom	indic
Ajaccio	61,4	58,6	55,6	43,3	53	31,6	13,4	4
Amiens	89,1	66,3	66,2	28	83,9	68	18,7	3
Besancon	95,7	69,5	68	19	87,5	68,3	15,2	3
Bordeaux	89,3	67,2	66,1	29,2	84,6	70,6	15,9	5
Caen	88	67,1	66,6	31,5	82,9	74,1	15,6	2
Chalons	95,8	67,9	68,1	22,5	93,4	78,9	16,6	3
Clermont	96	70,8	69,3	22,5	87,5	75,6	16,6	4
Dijon	93,4	68,1	68,3	23,2	86,7	74,6	16,1	3
Lille	91,8	67,1	67,1	28,5	90,2	58,5	16,3	3
Limoges	83,4	66,7	64,7	38,6	78,9	66,4	15,5	5
Lyon	93,5	67,4	68,4	21,2	86,1	67,8	17,3	4
Marseill	87,1	64	63,9	29,7	86,3	54,4	16,2	4
Montpell	89,3	66,3	64,7	27,6	85,9	60,7	15,5	4
Nancy	93,8	67,6	68,9	25,4	89,7	73,1	16,6	3
Nantes	91,8	67,8	67,8	28,9	88,3	74,3	16,7	2
Orleans	92,7	67,6	67	25,7	89	70,2	18,5	2
Poitiers	90,2	67,7	66,8	28,5	84,3	74,2	16,3	5
Rennes	91,5	68,3	67,9	28,1	85,5	66,2	17,3	2
Rouen	87,4	68,1	67,8	31,5	78,7	71,3	15,1	2
Strasbo	97,8	67,9	70,1	18,8	93,5	82	15,8	3
Toulouse	88	67,6	66,9	30,5	80,3	70,2	16,2	5
Paris	98,2	66,6	68,4	23,2	89,8	54,1	17,1	1
